namespace,relation1,property,relation2,return_class
PeriodIndex,has_property,day_of_year,return_class,None
PeriodIndex,has_property,days_in_month,return_class,None
PeriodIndex,has_property,daysinmonth,return_class,None
PeriodIndex,has_property,freq,return_class,None
PeriodIndex,has_property,freqstr,return_class,None
PeriodIndex,has_property,hour,return_class,None
PeriodIndex,has_property,minute,return_class,None
PeriodIndex,has_property,month,return_class,None
PeriodIndex,has_property,quarter,return_class,None
PeriodIndex,has_property,qyear,return_class,None
PeriodIndex,has_property,second,return_class,None
PeriodIndex,has_property,week,return_class,None
PeriodIndex,has_property,weekday,return_class,None
PeriodIndex,has_property,weekofyear,return_class,None
PeriodIndex,has_property,year,return_class,None
PeriodIndex,has_property,is_leap_year,return_class,Bool
PeriodIndex,has_property,end_time,return_class,Timestamp
PeriodIndex,has_property,start_time,return_class,Timestamp
QuarterBegin,has_property,freqstr,return_class,None
QuarterBegin,has_property,kwds,return_class,None
QuarterBegin,has_property,name,return_class,None
QuarterBegin,has_property,nanos,return_class,None
QuarterBegin,has_property,normalize,return_class,None
QuarterBegin,has_property,rule_code,return_class,None
QuarterBegin,has_property,n,return_class,None
QuarterBegin,has_property,startingMonth,return_class,None
QuarterEnd,has_property,freqstr,return_class,None
QuarterEnd,has_property,kwds,return_class,None
QuarterEnd,has_property,name,return_class,None
QuarterEnd,has_property,nanos,return_class,None
QuarterEnd,has_property,normalize,return_class,None
QuarterEnd,has_property,rule_code,return_class,None
QuarterEnd,has_property,n,return_class,None
QuarterEnd,has_property,startingMonth,return_class,None
RangeIndex,has_property,start,return_class,None
RangeIndex,has_property,stop,return_class,None
RangeIndex,has_property,step,return_class,None
Resampler,has_property,groups,return_class,None
Resampler,has_property,indices,return_class,None
Second,has_property,delta,return_class,None
Second,has_property,freqstr,return_class,None
Second,has_property,kwds,return_class,None
Second,has_property,name,return_class,None
Second,has_property,normalize,return_class,None
Second,has_property,rule_code,return_class,None
Second,has_property,n,return_class,None
Second,has_property,nanos,return_class,Int
SemiMonthBegin,has_property,freqstr,return_class,None
SemiMonthBegin,has_property,kwds,return_class,None
SemiMonthBegin,has_property,name,return_class,None
SemiMonthBegin,has_property,nanos,return_class,None
SemiMonthBegin,has_property,normalize,return_class,None
SemiMonthBegin,has_property,rule_code,return_class,None
SemiMonthBegin,has_property,n,return_class,None
SemiMonthBegin,has_property,day_of_month,return_class,None
SemiMonthEnd,has_property,freqstr,return_class,None
SemiMonthEnd,has_property,kwds,return_class,None
SemiMonthEnd,has_property,name,return_class,None
SemiMonthEnd,has_property,nanos,return_class,None
SemiMonthEnd,has_property,normalize,return_class,None
SemiMonthEnd,has_property,rule_code,return_class,None
SemiMonthEnd,has_property,n,return_class,None
SemiMonthEnd,has_property,day_of_month,return_class,None
Series,has_property,index,return_class,None
Series,has_property,array,return_class,None
Series,has_property,dtype,return_class,None
Series,has_property,shape,return_class,None
Series,has_property,nbytes,return_class,None
Series,has_property,ndim,return_class,None
Series,has_property,size,return_class,None
Series,has_property,T,return_class,None
Series,has_property,dtypes,return_class,None
Series,has_property,flags,return_class,None
Series,has_property,at,return_class,None
Series,has_property,iat,return_class,None
Series,has_property,loc,return_class,None
Series,has_property,iloc,return_class,None
Series,has_property,attrs,return_class,None
Series,has_property,hasnans,return_class,Bool
Series,has_property,empty,return_class,Bool
Series,has_property,is_unique,return_class,Bool
Series,has_property,is_monotonic_increasing,return_class,Bool
Series,has_property,is_monotonic_decreasing,return_class,Bool
Series,has_property,values,return_class,Ndarray
cat,has_property,ordered,return_class,None
cat,has_property,codes,return_class,None
cat,has_property,categories,return_class,None
dt,has_property,date,return_class,None
dt,has_property,time,return_class,None
dt,has_property,timetz,return_class,None
